,Folio,Ini_Date,End_Date,Op_Type,Comment,Comment Val,Units,Spot,TP,SL,Close_P,Close_Reason,Status,Margin
1369,Folio,2017-06-02 11:15,2017-06-02 11:45:00+00:00,Sell,STO,85,1000,18.68154,18.66754,18.68854,18.66607,TP,Closed,0.015469999999996986
1368,Folio,2017-06-02 12:35,2017-06-02 12:40:00+00:00,Buy,RSI,32,1000,18.57077,18.58377,18.56427,18.56078,SL,Closed,-0.009989999999998389
1367,Folio,2017-06-02 12:40,2017-06-02 12:45:00+00:00,Buy,RSI,34,1000,18.56078,18.573780000000003,18.554280000000002,18.57752,TP,Closed,0.016739999999998645
1366,Folio,2017-06-02 12:45,2017-06-02 12:55:00+00:00,Buy,BBL,0,1000,18.57752,18.59152,18.57052,18.56896,SL,Closed,-0.008559999999999235
1365,Folio,2017-06-02 12:50,2017-06-02 12:55:00+00:00,Buy,BBL,0,1000,18.5848,18.597800000000003,18.578300000000002,18.56896,SL,Closed,-0.015840000000000742
1364,Folio,2017-06-02 12:55,2017-06-02 13:00:00+00:00,Buy,RSI,32,1000,18.56896,18.581960000000002,18.56246,18.58566,TP,Closed,0.01670000000000016
1363,Folio,2017-06-02 13:00,2017-06-02 13:05:00+00:00,Buy,BBL,0,1000,18.58566,18.598660000000002,18.57916,18.57126,SL,Closed,-0.014400000000001967
1362,Folio,2017-06-02 13:05,2017-06-02 13:45:00+00:00,Buy,BBL,0,1000,18.57126,18.585259999999998,18.564259999999997,18.58846,TP,Closed,0.017200000000002547
1361,Folio,2017-06-02 13:10,2017-06-02 13:25:00+00:00,Buy,STO,11,1000,18.57161,18.58361,18.56561,18.56553,SL,Closed,-0.0060800000000007515
1360,Folio,2017-06-02 13:15,2017-06-02 13:20:00+00:00,Buy,BBL,0,1000,18.57996,18.59296,18.57346,18.57287,SL,Closed,-0.007089999999998042
1359,Folio,2017-06-02 13:20,2017-06-02 13:25:00+00:00,Buy,BBL,0,1000,18.57287,18.585870000000003,18.566370000000003,18.56553,SL,Closed,-0.007340000000002789
1358,Folio,2017-06-02 13:25,2017-06-02 13:45:00+00:00,Buy,STO,12,1000,18.56553,18.57753,18.55953,18.58846,TP,Closed,0.022930000000002337
1357,Folio,2017-06-02 13:30,2017-06-02 13:45:00+00:00,Buy,BBL,0,1000,18.57523,18.58723,18.56923,18.58846,TP,Closed,0.013230000000000075
1356,Folio,2017-06-02 13:35,2017-06-02 13:45:00+00:00,Buy,STO,14,1000,18.56953,18.58353,18.56253,18.58846,TP,Closed,0.018930000000001
